Linux mervspi 6.18.39+rpt-rpi-2712 #1 SMP PREEMPT Debian 1:6.18.39-1+rpt1 (2026-07-29) aarch64 GNU/Linux
Sep 02 22:22:07 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Linux mervspi 6.18.39+rpt-rpi-2712 #1 SMP PREEMPT Debian 1:6.18.39-1+rpt1 (2026-07-29) aarch64
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 30 @ 0.587183 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 31 @ 0.607089 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 7 @ 0.617117 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 32 @ 0.626990 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 5 @ 0.637017 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 33 @ 0.646895 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 34 @ 0.666798 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 35 @ 0.686701 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 36 @ 0.706605 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 8 @ 0.716625 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 37 @ 0.726509 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 38 @ 0.746412 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 6 @ 0.756437 sec on core 3
Sep 02 22:22:08 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 39 @ 0.766314 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 40 @ 0.786216 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 41 @ 0.806120 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 9 @ 0.816143 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 42 @ 0.826022 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 43 @ 0.845926 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 44 @ 0.865829 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 45 @ 0.885732 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 46 @ 0.905636 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 10 @ 0.915671 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 47 @ 0.925546 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 7 @ 0.935587 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 48 @ 0.945448 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 49 @ 0.965353 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 50 @ 0.985257 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 51 @ 1.005162 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 11 @ 1.015170 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 52 @ 1.025064 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 53 @ 1.044966 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 8 @ 1.054984 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 54 @ 1.064869 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 55 @ 1.084771 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 56 @ 1.104675 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 12 @ 1.114690 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 57 @ 1.124577 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 58 @ 1.144480 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 59 @ 1.164383 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 60 @ 1.184286 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 61 @ 1.204190 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 13 @ 1.214197 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 62 @ 1.224092 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 9 @ 1.234119 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 63 @ 1.243994 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 64 @ 1.263898 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 65 @ 1.283802 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 66 @ 1.303705 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 14 @ 1.313721 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 67 @ 1.323607 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 68 @ 1.343510 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 10 @ 1.353518 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 69 @ 1.363412 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 70 @ 1.383315 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 71 @ 1.403225 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 15 @ 1.413241 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 72 @ 1.423127 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 73 @ 1.443029 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 74 @ 1.462932 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 75 @ 1.482834 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 76 @ 1.502738 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 16 @ 1.512756 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 77 @ 1.522641 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 11 @ 1.532665 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 78 @ 1.542543 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 79 @ 1.562447 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 80 @ 1.582349 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 81 @ 1.602252 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 17 @ 1.612259 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 82 @ 1.622155 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 83 @ 1.642058 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 3 start 12 @ 1.652073 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 84 @ 1.661960 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 85 @ 1.681864 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 86 @ 1.701768 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 2 start 18 @ 1.711786 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 87 @ 1.721670 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 88 @ 1.741573 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 89 @ 1.761476 sec on core 3
Sep 02 22:22:09 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 90 @ 1.781379 sec on core 3
Sep 02 22:22:10 mervspi seqgenex0[36906]: [COURSE:2][ASSIGNMENT:1]: Thread 1 start 91 @ 1.801283 sec on core 3
